epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,30461.7,0.78249,0.43695,0.86192,0.89351,0.88686,0.88674,0.62125,0.871,0.4297,0.87733,0.0005512,0.0005512,0.0005512
70,30905.4,0.78023,0.43571,0.86496,0.90428,0.89232,0.8917,0.63052,0.86365,0.42672,0.8753,0.0005446,0.0005446,0.0005446
71,31345.3,0.7785,0.43409,0.86413,0.89883,0.89411,0.89412,0.62768,0.87022,0.42601,0.87585,0.000538,0.000538,0.000538
72,31784.8,0.78644,0.43412,0.86408,0.88272,0.89753,0.89123,0.623,0.87611,0.42481,0.87822,0.0005314,0.0005314,0.0005314
73,32226.4,0.77952,0.43396,0.86196,0.88914,0.89288,0.88841,0.62621,0.86801,0.42452,0.87601,0.0005248,0.0005248,0.0005248
74,32662.5,0.77635,0.43367,0.86292,0.89618,0.89057,0.88829,0.62489,0.86917,0.426,0.87653,0.0005182,0.0005182,0.0005182
75,33100.8,0.77581,0.42945,0.86505,0.90223,0.88641,0.89708,0.63386,0.86002,0.42371,0.87466,0.0005116,0.0005116,0.0005116
76,33542.2,0.77319,0.42819,0.8623,0.89035,0.88999,0.89215,0.63007,0.86543,0.42557,0.87755,0.000505,0.000505,0.000505
77,33980.1,0.76622,0.42813,0.85863,0.8894,0.89346,0.89493,0.627,0.88229,0.42625,0.87961,0.0004984,0.0004984,0.0004984
78,34421.7,0.78167,0.43258,0.86298,0.8853,0.88609,0.89079,0.62891,0.87094,0.42688,0.87632,0.0004918,0.0004918,0.0004918
79,34862.2,0.76883,0.42556,0.85969,0.89337,0.88379,0.88197,0.62097,0.87211,0.42541,0.87688,0.0004852,0.0004852,0.0004852
80,35300.7,0.77366,0.42763,0.86266,0.90061,0.89162,0.89255,0.63129,0.86977,0.42444,0.87647,0.0004786,0.0004786,0.0004786
81,35740.8,0.77099,0.42717,0.86189,0.89288,0.87807,0.88816,0.62588,0.87822,0.42555,0.87865,0.000472,0.000472,0.000472
82,36178.2,0.76818,0.42639,0.86163,0.89656,0.88826,0.89083,0.6286,0.87688,0.42467,0.87854,0.0004654,0.0004654,0.0004654
83,36615.3,0.76432,0.42701,0.86317,0.89311,0.89108,0.89169,0.62723,0.86767,0.42348,0.87557,0.0004588,0.0004588,0.0004588
84,37051.6,0.7625,0.42299,0.85942,0.89199,0.88863,0.88983,0.62553,0.87083,0.42218,0.87809,0.0004522,0.0004522,0.0004522
85,37493,0.77056,0.42645,0.85939,0.90683,0.88917,0.89583,0.62802,0.86917,0.424,0.87793,0.0004456,0.0004456,0.0004456
86,37933.1,0.7636,0.42267,0.85928,0.89952,0.88824,0.89148,0.63099,0.86918,0.42419,0.87607,0.000439,0.000439,0.000439
87,38373.9,0.75676,0.4211,0.85892,0.88155,0.88833,0.88676,0.62625,0.86925,0.42119,0.87667,0.0004324,0.0004324,0.0004324
88,38815.4,0.76463,0.42289,0.86003,0.90576,0.88773,0.89497,0.62391,0.87156,0.42305,0.8776,0.0004258,0.0004258,0.0004258
89,39263.9,0.76182,0.42395,0.85819,0.89073,0.8877,0.88856,0.62571,0.87297,0.42215,0.87737,0.0004192,0.0004192,0.0004192
90,39705.1,0.76138,0.42098,0.85764,0.89439,0.89293,0.89416,0.62982,0.86534,0.42157,0.87716,0.0004126,0.0004126,0.0004126
